
0,"If an emerging growth company, indicate by check mark if the Registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13(a) of the Exchange Act.",2020,If an emerging growth company indicate by check mark if the Registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards provided pursuant to Section 13a of the Exchange Act,emerging growth company indicate check mark registrant elected use extended transition period complying new revised financial accounting standards provided pursuant section 13a exchange act
1,"Many of the forward-looking statements are located in Part II, Item 7 of this Form 10-K under the heading “Management’s Discussion and Analysis of Financial Condition and Results of Operations.” Forward-looking statements provide current expectations of future events based on certain assumptions and include any statement that does not directly relate to any historical or current fact.",2020,Many of the forwardlooking statements are located in Part II Item 7 of this Form 10K under the heading “Management’s Discussion and Analysis of Financial Condition and Results of Operations” Forwardlooking statements provide current expectations of future events based on certain assumptions and include any statement that does not directly relate to any historical or current fact,many forwardlooking statements located part ii item 7 form 10k heading “ management ’ discussion analysis financial condition results operations ” forwardlooking statements provide current expectations future events based certain assumptions include statement directly relate historical current fact
2,"For example, statements in this Form 10-K regarding the potential future impact of the COVID-19 pandemic on the Company’s business and results of operations are forward-looking statements.",2020,For example statements in this Form 10K regarding the potential future impact of the COVID19 pandemic on the Company’s business and results of operations are forwardlooking statements,example statements form 10k regarding potential future impact covid19 pandemic company ’ business results operations forwardlooking statements
3,"The markets for the Company’s products and services are highly competitive, and are characterized by aggressive price competition and resulting downward pressure on gross margins, frequent introduction of new products and services, short product life cycles, evolving industry standards, continual improvement in product price and performance characteristics, rapid adoption of technological advancements by competitors, and price sensitivity on the part of consumers and businesses.",2020,The markets for the Company’s products and services are highly competitive and are characterized by aggressive price competition and resulting downward pressure on gross margins frequent introduction of new products and services short product life cycles evolving industry standards continual improvement in product price and performance characteristics rapid adoption of technological advancements by competitors and price sensitivity on the part of consumers and businesses,markets company ’ products services highly competitive characterized aggressive price competition resulting downward pressure gross margins frequent introduction new products services short product life cycles evolving industry standards continual improvement product price performance characteristics rapid adoption technological advancements competitors price sensitivity part consumers businesses
4,"Principal competitive factors important to the Company include price, product and service features (including security features), relative price and performance, product and service quality and reliability, design innovation, a strong third-party software and accessories ecosystem, marketing and distribution capability, service and support, and corporate reputation.",2020,Principal competitive factors important to the Company include price product and service features including security features relative price and performance product and service quality and reliability design innovation a strong thirdparty software and accessories ecosystem marketing and distribution capability service and support and corporate reputation,principal competitive factors important company include price product service features including security features relative price performance product service quality reliability design innovation strong thirdparty software accessories ecosystem marketing distribution capability service support corporate reputation
5,"The Company faces substantial competition in these markets from companies that have significant technical, marketing, distribution and other resources, as well as established hardware, software, and service offerings with large customer bases.",2020,The Company faces substantial competition in these markets from companies that have significant technical marketing distribution and other resources as well as established hardware software and service offerings with large customer bases,company faces substantial competition markets companies significant technical marketing distribution resources well established hardware software service offerings large customer bases
6,The Company’s services compete with business models that provide content to users for free and use illegitimate means to obtain third-party digital content and applications.,2020,The Company’s services compete with business models that provide content to users for free and use illegitimate means to obtain thirdparty digital content and applications,company ’ services compete business models provide content users free use illegitimate means obtain thirdparty digital content applications
7,"The continued availability of these components at acceptable prices, or at all, may be affected if suppliers decide to concentrate on the production of common components instead of components customized to meet the Company’s requirements.",2020,The continued availability of these components at acceptable prices or at all may be affected if suppliers decide to concentrate on the production of common components instead of components customized to meet the Company’s requirements,continued availability components acceptable prices may affected suppliers decide concentrate production common components instead components customized meet company ’ requirements
8,"Because the industries in which the Company competes are characterized by rapid technological advances, the Company’s ability to compete successfully depends heavily upon its ability to ensure a continual and timely flow of competitive products, services and technologies to the marketplace.",2020,Because the industries in which the Company competes are characterized by rapid technological advances the Company’s ability to compete successfully depends heavily upon its ability to ensure a continual and timely flow of competitive products services and technologies to the marketplace,industries company competes characterized rapid technological advances company ’ ability compete successfully depends heavily upon ability ensure continual timely flow competitive products services technologies marketplace
9,"The Company continues to develop new technologies to enhance existing products and services, and to expand the range of its offerings through research and development (“R&D”), licensing of intellectual property and acquisition of third-party businesses and technology.",2020,The Company continues to develop new technologies to enhance existing products and services and to expand the range of its offerings through research and development “RD” licensing of intellectual property and acquisition of thirdparty businesses and technology,company continues develop new technologies enhance existing products services expand range offerings research development “ rd ” licensing intellectual property acquisition thirdparty businesses technology
