Logistic Regression,0.9282,0.87,0.79,0.83,0.7915
Perceptron,0.9078,0.8,0.8,0.8,0.7999
SVM,0.9294,0.86,0.81,0.84,0.8146
KNearest neighbors,0.9031,0.88,0.66,0.71,0.6606
ComplementNB,0.8467,0.7,0.8,0.73,0.7983
BernoulliNB,0.9041,0.82,0.71,0.75,0.7125
MultinomialNB,0.8467,0.7,0.8,0.73,0.7983
Decision Tree,0.9256,0.84,0.83,0.84,0.8319
Linear SVM,0.9253,0.85,0.81,0.83,0.8125
Random Forest,0.9314,0.9,0.78,0.83,0.783
AdaBoost ,0.9073,0.85,0.7,0.75,0.7024
Gradient Descent,0.8698,0.71,0.57,0.59,0.5716
SGD,0.8886,0.76,0.73,0.75,0.7338
